date,category,rank,asin,title,price,rating,review_count
2026-08-24,Briefs,11,B073WCC5YL,Van Heusen Men’s Cotton Boxer Briefs Pack of 2 | Long Trunk | No ride-up | Super Combed Cotton for softness | Open Front Fly | Moisture‑Wicking | Sweat Absorbant | All‑Day Fresh Technology | Long Lasting Colors |Soft Plush Waistband | Label‑Free Comfort | style 10032,₹487.00,4.1 out of 5 stars,"17,544"
2026-08-24,Briefs,12,B0BDDQTG1D,Levi's 009 Neo Brief for Men | 100% Pure Cotton | Solid Men's Underwear | Breathable | Branded Outer Elastic Anti-Roll Waistband | Extra Supportive Gusset | Dual Layer 3D Pouch | Tagless | Pack of 5,₹799.00,4.0 out of 5 stars,331
2026-08-24,Briefs,13,B073WBT667,Van Heusen Men’s Cotton Briefs Pack of 3| Ribbed Cotton | Anti-Bacterial | Stay fresh | Sweat Absorbant | Moisture-Wicking | Long Lasting Colors |Breathable Combed Cotton for extra comfort | Soft Waistband | Soft Touch | Style 10004,₹765.00,4.2 out of 5 stars,"13,161"
2026-08-24,Briefs,14,B073WC8X1B,Van Heusen Men’s Cotton Briefs | 100% Cotton | Anti-Bacterial | Sweat Absorbant | Moisture-Wicking | Breathable Combed Cotton for extra comfort | Soft Waistband | Soft Touch | Style 10003,₹663.00,4.1 out of 5 stars,"10,476"
2026-08-24,Briefs,15,B0BC93R4KC,Jockey US52 Men's Super Combed Cotton Printed Brief with Ultrasoft Waistband,₹529.00,4.2 out of 5 stars,"3,123"
2026-08-24,Briefs,16,B0CJFTNNCJ,Jockey 8008 Men Super Combed Cotton Solid Long Trunk Boxer Brief(Pack of 3),₹799.00,4.2 out of 5 stars,"2,081"
2026-08-24,Briefs,17,B01ENC4MVI,Jockey 8035 Men Super Combed Cotton Solid Brief with Ultrasoft Concealed Waistband_(Pack of 2),₹358.00,4.3 out of 5 stars,"5,245"
2026-08-24,Briefs,18,B00WFU4V1W,Jockey 8037 Men Super Combed Cotton Solid Brief with Ultrasoft Waistband,₹199.00,4.2 out of 5 stars,"30,355"
2026-08-24,Briefs,19,B09JGHS1WR,U.S. Polo ASSN. Mens Elasticized Waist Pure Cotton I006 Briefs - Pack of 3,₹582.00,4.1 out of 5 stars,"1,078"
2026-08-24,Briefs,20,B0F5Q8VS5J,Jockey 8037 Men Super Combed Cotton Solid Brief with Ultrasoft Waistband_(Pack of 3),₹579.00,4.3 out of 5 stars,280
2026-08-24,Briefs,21,B01420KN9G,Jockey Men Boxer Briefs,₹550.00,4.2 out of 5 stars,"13,359"
2026-08-24,Briefs,22,B0B2NWZD2H,Jockey NY15 Men Super Combed Cotton Elastane Stretch Solid Brief with Ultrasoft Waistband,₹299.00,4.3 out of 5 stars,"1,304"
2026-08-24,Briefs,23,B01ENCE8QW,Jockey US14 Men Super Combed Cotton Solid Brief with Ultrasoft Waistband_(Colors & Prints May Vary),₹219.00,4.2 out of 5 stars,"5,588"
2026-08-24,Briefs,24,B09PL6BYHP,"VIP Frenchie Plus Men’s Cotton Briefs (Pack of 3) – Ultra-Soft, Breathable Underwear with Stretch Waistband & All-Day Comfort Fit",₹329.00,4.2 out of 5 stars,"3,152"
2026-08-24,Briefs,25,B00W04FEGY,Jockey IC24 Men Tencel Micro Modal Cotton Elastane Stretch Solid Brief with Natural StayFresh Properties,₹399.00,4.3 out of 5 stars,"3,143"
2026-08-24,Briefs,26,B0G7JCBFNG,"DAMENSCH Activewear Supporter for Gym, Premium Microfiber Blend for Men Workout, Quick Dry, Moisture Wicking Supporter for Cricket, Gym, Running, Sports Underwear for Men",₹399.00,4.2 out of 5 stars,117
2026-08-24,Briefs,27,B09SL3Z8CV,Dollar Bigboss Men Cotton Brief,₹358.00,4.2 out of 5 stars,473
2026-08-24,Briefs,28,B08F7WGX36,"DAMENSCH Men's Regular Fit Solid Brief | 3x Softer than Regular Cotton, 5x Odour-Cancellation, Advanced Moisture Control, Lasts 2x Longer than Regular Modal Underwear",₹799.00,4.3 out of 5 stars,"4,222"
2026-08-24,Briefs,29,B00W03LM98,Jockey 1009 Men's Super Combed Cotton Rib Solid Brief with Stay Fresh Properties (Pack of 2),₹399.00,4.4 out of 5 stars,"1,476"
2026-08-24,Briefs,30,B0BQ6F8B7Y,U.S. Polo ASSN. Mens EB002 Anti Microbial Signature Cotton Stretch Underwear Brief -Pack of 2,₹447.00,4.3 out of 5 stars,"1,401"
